"","Lost Mound","High Mesa","Big Pot","Bayless Ruin","Twin Hawks","AZ U:4:009 (ASM)","AZ U:8:589 (ASM)","AZ V:5:125 (ASM)","Bass Point Mound","Griffen Wash Complex","Indian Point Complex","Las Tortugas","Los Hermanos","Meddler Point Mound","Pinto Point Mound","Pyramid Point Complex","Schoolhouse Point Mesa Complex","Lovelady Ranch","AZ W:11:7","WS Ranch","Largo Canyon","Foote Canyon Pueblo","AZ W:8:4","Blue PO Site","AZ W:8:9","LA 5939","LA 9777","LA 105878","LA 105880","Slade","Greenwood","Danson Pueblo","Hooper Ranch Pueblo","Apache Creek Pueblo","LA 3274","LA 4987","LA 4989","Pueblo Carrejo","LA 6063","LA 8090","Higgins Flat","Hudson Ranch","LA 83287","LA 85442","3-Up","Babocomari Village","Aztec","Maddox Ranch","Animas River Ruin","Holmes Group","Flora Vista","Red Willow II","Lizard House","LA 6679","LA 6705","LA 6725","LA 6729","Skunk Springs","LA 7067","LA 7068","LA 7075","LA 7095","LA 7138","LA 7189","LA 7192","LA 7200","LA 7290","LA 7318","LA 7343","LA 7417","LA 7433","LA 7434","LA 7465","LA 7475","LA 7501","LA 7502","LA 7526","LA 7538","LA 7582","LA 7584","LA 7591","LA 7624","LA 7641","LA 7690","LA 7704","LA 7753","LA 7778","LA 7781","LA 7787","LA 7935","LA 7938","LA 7973","LA 8200","LA 8204","LA 8433","LA 8458","LA 8477","LA 8500","LA 8519","LA 8549","Shannon Bluff-Point","Fruitland Pueblo","Salmon II","LA 12758","West Water","LA 13114","LA 20266","LA 50078","LA 52606","Kello Blancett","LA 60009","LA 60020","Morris' Old Fort","LA 100068","LA 100069","LA 100082","Awat'ovi","Heshoda Yala:wa","Techado Spring","Jaralosa","Horse Camp Mill","Hinkson Ranch","Eagle Crag","Wide Reed Ruin","Hogay Ruin","Kinlichee","Cornfields","Dinwiddie","Lululongturqi","Abangkuyivi","Hubble Corner","Owens-Colvin","Rocky Point","Schoolhouse Point Mound","Roundy Ruin","Bean Patch","Garcia Ranch","Carter Ranch Pueblo","Broken K Pueblo","Hardscrabble Ruin","Houghton Site","Seven Springs","Malpais Spring","Chezhinchotah","Scribe S","Lower Deracho","Box S","LA 15560","LA 47563","Los Gigantes","Spier 81","LA 109857","LA 109993","Citadel/Nalakihu","Wupatki","Crack-in-Rock","Many Farms","Lukachukai GH","Antelope House","White House II","Salina Springs II","Boss Ranch","Old Caves","Elden Pueblo","Burned Pueblo","Turkey Hill Pueblo","Ridge Ruin","Tachini Point","Inscription House","Tower House","Batwoman House","Twin Caves Pueblo","Red House","NA 4157","Kinlani","Olla House","Double Wall Ruin","NA 5628","Hummingbird House","NA 8816","NA 8820","NA 8886","NA 8895","Organ Rock","Pueblo Grande","Burnt Corn GH","Pinon Ruin","AZ E:6:1","Ford House","Montezuma Well (E.Rim)","Montezuma Castle A & B","Honanki","Piglet","Zanardelli Site","Gibbon  Springs","Fitzmaurice Ruin","University Indian Ruins","Pueblo Blanco","Sunset Mesa","Pueblo Salado","White Rincon","Jackrabbit","Casa Grande","Las Colinas","Whiptail Ruin","Tanque Verde Village","Brady Wash","Mendoza Canyon","Escalante","Las Acequias","Dakota Wash","Hodges Ruin","Romero Ruin","Los Morteros","Casa Buena","Kuykendall","Curtis Ruin(Buena Vista)","Drip","Twin Towers","North Mesa","Juniper Terrace","Cosnino Caves","Two Kivas","Atsee Nitsaa","Tuzigoot","Roosevelt 9:13","Earven Flat Site","Danson 481","Rabid Ruin","San Xavier Bridge","Continental Site","Cerro Prieto--Santa Cruz","Omawovi","Paaqapa","LA 76368","LA 7085","LA 7791","LA 8532","Yuma Wash--Tucson","CS165","CS195","LZ1232","LZ1245","LZ1301","LZ1302","LZ1305","South Ruin","LZ1307","LZ1310","LA 47515","LA 47562","FSOP13","FSOP15","LA 15623","LA 15667","LA 15669","LA 15671","LA 15673","AZ Q:4:58 (ASM)","Forestdale Pueblo","Garden Canyon","Rillito Fan","LA 82683","LA 82762","LA 85954","LA 85796","LA 85989","LA 86013","LA 86027","LA 86037","LA 86054","LA 82726","LA 82740","LA 82741","LA 82693","LA 82747","LA 82763","LA 85977","LA 86042"
"LA 7433","0","0","0","0","0","0","0.019","0","0.019","0.019","0.019","0","0","0.014","0.019","0.016","0.019","0.019","0.019","0.019","0.019","0.019","0.019","0.019","0.019","0.019","0.019","0.019","0.019","0.019","0.019","0.019","0.019","0.019","0.019","0.019","0.019","0","0.019","0.019","0.019","0.019","0.019","0","0.019","0","0.546","0.019","0.537","0.531","0.537","0.537","0.539","0.582","0.843","0.865","0.765","0.556","0.749","0.744","0.959","0.659","0.82","0.588","0.548","0.963","0.785","0.921","0.619","0.882","1","0.923","0.911","0.963","0.978","0.816","0.878","0.912","0.834","0.63","0.554","0.981","0.99","0.63","0.837","0.741","0.778","0.746","0.463","0.854","0.891","0.947","0.606","0.891","0.959","0.961","0.896","0.936","0.849","0.525","0.796","0.661","0.529","0.665","0.65","0.519","0.521","0.519","0.537","0.527","0.579","0.597","0.537","0.537","0.013","0.519","0","0.019","0.019","0.019","0.019","0.019","0.019","0.07","0.023","0.019","0.022","0","0","0","0.019","0.019","0.019","0.019","0.008","0.019","0.019","0.019","0.019","0.019","0.019","0.019","0.019","0","0.019","0.019","0.019","0.019","0.019","0.019","0.019","0.019","0.019","0","0.002","0","0","0.019","0.406","0.267","0.019","0.019","0","0.019","0","0.019","0","0.003","0","0","0","0","0.019","0.186","0","0","0","0","0","0","0.008","0","0","0","0","0","0","0.112","0.223","0","0","0","0","0","0","0.001","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.008","0.019","0","0.594","0","0","0.019","0.019","0.019","0.001","0.019","0.014","0.019","0","0","0","0","0","0","0.019","0.784","0.919","0.583","0","0.019","0.019","0.019","0.019","0.019","0.019","0.019","0.019","0.019","0.019","0.019","0.019","0.019","0.019","0.019","0.019","0.019","0.019","0.019","0.019","0.019","0","0","0.019","0.019","0.019","0.019","0.019","0.019","0.019","0.019","0.019","0.019","0.019","0.019","0.019","0.019","0.019","0.019","0.019"
"LA 7434","0","0","0","0","0","0","0","0","0","0","0","0.008","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.512","0","0.463","0.463","0.463","0.463","0.484","0.616","0.84","0.843","0.789","0.544","0.784","0.761","0.904","0.679","0.856","0.585","0.568","0.923","0.746","0.919","0.657","0.826","0.923","1","0.856","0.95","0.904","0.813","0.876","0.838","0.76","0.627","0.59","0.923","0.916","0.665","0.782","0.72","0.704","0.729","0.46","0.851","0.908","0.891","0.642","0.835","0.923","0.923","0.838","0.862","0.831","0.561","0.721","0.605","0.467","0.591","0.594","0.463","0.463","0.463","0.463","0.463","0.543","0.556","0.463","0.476","0.013","0.463","0.077","0","0.001","0","0","0","0.067","0.101","0.079","0.038","0.053","0","0.038","0.038","0","0","0.003","0.001","0.001","0","0.001","0","0","0","0.021","0","0.062","0.038","0","0","0","0","0","0","0","0","0","0.05","0.07","0.077","0.077","0.077","0.465","0.325","0.077","0","0.077","0.07","0","0.077","0.077","0.079","0.077","0.077","0.077","0.077","0.077","0.262","0.077","0.077","0.077","0.077","0.077","0.077","0.085","0.077","0.077","0.075","0","0.077","0.077","0.15","0.3","0.077","0.077","0.077","0.033","0","0","0.023","0","0","0","0","0","0","0","0.072","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.562","0.072","0.077","0.077","0.077","0","0.077","0","0","0","0","0","0","0","0.077","0.077","0","0.795","0.916","0.562","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.008","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"LA 7465","0","0","0","0","0","0","0.018","0","0.018","0.018","0.018","0.008","0","0.014","0.018","0.016","0.018","0.018","0.018","0.018","0.018","0.018","0.018","0.018","0.018","0.018","0.018","0.018","0.018","0.018","0.018","0.018","0.018","0.018","0.018","0.018","0.018","0","0.018","0.018","0.018","0.018","0.018","0","0.018","0","0.622","0.018","0.607","0.548","0.607","0.607","0.61","0.494","0.755","0.776","0.695","0.468","0.661","0.656","0.934","0.571","0.732","0.5","0.547","0.875","0.856","0.833","0.619","0.953","0.911","0.856","1","0.889","0.922","0.728","0.79","0.976","0.904","0.542","0.466","0.894","0.919","0.542","0.908","0.652","0.849","0.834","0.375","0.766","0.802","0.946","0.536","0.961","0.873","0.872","0.917","0.933","0.783","0.438","0.866","0.732","0.602","0.735","0.721","0.589","0.591","0.589","0.607","0.597","0.649","0.667","0.607","0.607","0.013","0.589","0.018","0.018","0.019","0.018","0.018","0.018","0.036","0.081","0.041","0.036","0.039","0","0.018","0.018","0.018","0.018","0.021","0.019","0.009","0.018","0.018","0.018","0.018","0.018","0.036","0.018","0.036","0.018","0.018","0.018","0.018","0.018","0.018","0.018","0.018","0.018","0.018","0.018","0.02","0.018","0.018","0.036","0.423","0.284","0.036","0.018","0.018","0.036","0","0.036","0.018","0.021","0.018","0.018","0.018","0.018","0.036","0.203","0.018","0.018","0.018","0.018","0.018","0.018","0.026","0.018","0.018","0.018","0","0.018","0.018","0.129","0.241","0.018","0.018","0.018","0.018","0","0","0.019","0","0","0","0","0","0","0","0.018","0","0","0","0","0","0","0","0","0","0","0","0.008","0.018","0","0.668","0.018","0.018","0.036","0.036","0.018","0.019","0.018","0.014","0.018","0","0","0","0","0.018","0.018","0.018","0.696","0.831","0.494","0","0.018","0.018","0.018","0.018","0.018","0.018","0.018","0.018","0.018","0.018","0.018","0.018","0.018","0.018","0.018","0.018","0.018","0.018","0.018","0.018","0.026","0","0","0.018","0.018","0.018","0.018","0.018","0.018","0.018","0.018","0.018","0.018","0.018","0.018","0.018","0.018","0.018","0.018","0.018"
"LA 7475","0","0","0","0","0","0","0","0","0","0","0","0.008","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.528","0","0.5","0.5","0.5","0.5","0.521","0.606","0.853","0.856","0.777","0.557","0.772","0.749","0.941","0.667","0.844","0.598","0.543","0.973","0.78","0.931","0.633","0.864","0.963","0.95","0.889","1","0.941","0.826","0.888","0.875","0.797","0.64","0.577","0.973","0.953","0.653","0.819","0.732","0.741","0.741","0.473","0.864","0.893","0.929","0.629","0.872","0.94","0.952","0.873","0.899","0.831","0.549","0.759","0.642","0.504","0.628","0.631","0.5","0.5","0.5","0.5","0.5","0.555","0.573","0.5","0.513","0.013","0.5","0.027","0","0.001","0","0","0","0.027","0.077","0.032","0.014","0.028","0","0.014","0.014","0","0","0.003","0.001","0.001","0","0.001","0","0","0","0.014","0","0.027","0.014","0","0","0","0","0","0","0","0","0","0.025","0.027","0.027","0.027","0.027","0.415","0.275","0.027","0","0.027","0.027","0","0.027","0.027","0.029","0.027","0.027","0.027","0.027","0.027","0.213","0.027","0.027","0.027","0.027","0.027","0.027","0.035","0.027","0.027","0.027","0","0.027","0.027","0.125","0.25","0.027","0.027","0.027","0.014","0","0","0.016","0","0","0","0","0","0","0","0.027","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.575","0.027","0.027","0.027","0.027","0","0.027","0","0","0","0","0","0","0","0.027","0.027","0","0.807","0.929","0.574","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.008","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"LA 7501","0","0","0","0","0","0","0.029","0","0.029","0.029","0.028","0","0","0.014","0.029","0.016","0.019","0.029","0.029","0.029","0.029","0.029","0.029","0.029","0.029","0.029","0.029","0.029","0.029","0.029","0.029","0.029","0.029","0.029","0.029","0.029","0.029","0","0.029","0.022","0.025","0.029","0.029","0","0.029","0","0.568","0.029","0.559","0.542","0.559","0.559","0.55","0.561","0.821","0.849","0.743","0.545","0.727","0.727","0.97","0.637","0.798","0.566","0.559","0.941","0.796","0.9","0.619","0.893","0.978","0.904","0.922","0.941","1","0.794","0.856","0.925","0.856","0.608","0.532","0.96","0.988","0.608","0.848","0.73","0.8","0.757","0.441","0.832","0.88","0.958","0.584","0.902","0.951","0.941","0.912","0.958","0.86","0.504","0.817","0.672","0.54","0.687","0.661","0.529","0.532","0.529","0.559","0.537","0.601","0.619","0.553","0.559","0.013","0.529","0","0.029","0.029","0.029","0.029","0.029","0.029","0.08","0.034","0.029","0.033","0","0","0","0.029","0.029","0.029","0.022","0.008","0.029","0.029","0.029","0.029","0.029","0.029","0.029","0.029","0","0.029","0.029","0.029","0.029","0.029","0.029","0.029","0.029","0.029","0","0.002","0","0","0.02","0.417","0.278","0.022","0.029","0","0.028","0","0.029","0","0.003","0","0","0","0","0.029","0.186","0","0","0","0","0","0","0.008","0","0","0","0","0","0","0.112","0.223","0","0","0","0","0","0","0.001","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.008","0.029","0","0.605","0","0","0.029","0.019","0.029","0.001","0.029","0.014","0.029","0","0","0","0","0","0","0.029","0.762","0.897","0.572","0","0.029","0.029","0.029","0.029","0.029","0.029","0.029","0.029","0.029","0.029","0.029","0.029","0.029","0.029","0.029","0.029","0.029","0.029","0.029","0.029","0.029","0","0","0.029","0.029","0.029","0.029","0.029","0.029","0.029","0.029","0.029","0.029","0.029","0.029","0.029","0.029","0.029","0.029","0.029"
"LA 7502","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.362","0","0.353","0.353","0.353","0.353","0.374","0.767","0.963","0.937","0.938","0.715","0.929","0.91","0.794","0.828","0.853","0.772","0.529","0.853","0.62","0.895","0.619","0.717","0.816","0.813","0.728","0.826","0.794","1","0.938","0.728","0.65","0.814","0.738","0.834","0.806","0.814","0.672","0.906","0.594","0.58","0.647","0.962","0.823","0.782","0.79","0.725","0.813","0.853","0.712","0.752","0.794","0.71","0.612","0.495","0.355","0.481","0.484","0.353","0.353","0.353","0.353","0.353","0.395","0.413","0.353","0.353","0.013","0.353","0","0","0","0","0","0","0","0.051","0.005","0","0.004","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.353","0.248","0","0","0","0","0","0","0","0.002","0","0","0","0","0","0.186","0","0","0","0","0","0","0.008","0","0","0","0","0","0","0.112","0.223","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.411","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.869","0.897","0.713","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"LA 7526","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.424","0","0.415","0.415","0.415","0.415","0.436","0.704","0.965","0.967","0.876","0.66","0.871","0.848","0.856","0.765","0.857","0.71","0.529","0.915","0.682","0.957","0.619","0.779","0.878","0.876","0.79","0.888","0.856","0.938","1","0.79","0.712","0.752","0.676","0.897","0.869","0.752","0.734","0.844","0.657","0.642","0.585","0.976","0.879","0.844","0.728","0.787","0.875","0.915","0.774","0.814","0.831","0.647","0.674","0.558","0.417","0.543","0.547","0.415","0.415","0.415","0.415","0.415","0.457","0.475","0.415","0.415","0.013","0.415","0","0","0","0","0","0","0","0.051","0.005","0","0.004","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.388","0.248","0","0","0","0","0","0","0","0.002","0","0","0","0","0","0.186","0","0","0","0","0","0","0.008","0","0","0","0","0","0","0.112","0.223","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.473","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.869","0.959","0.686","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"LA 7538","0.021","0.021","0.021","0.021","0.021","0.021","0.042","0.021","0.042","0.042","0.042","0.021","0.021","0.035","0.042","0.036","0.04","0.042","0.042","0.042","0.042","0.042","0.042","0.042","0.042","0.042","0.042","0.042","0.042","0.042","0.042","0.042","0.042","0.042","0.042","0.042","0.042","0.021","0.042","0.042","0.042","0.042","0.042","0.021","0.042","0","0.634","0.021","0.604","0.568","0.604","0.604","0.613","0.494","0.765","0.787","0.677","0.492","0.661","0.659","0.934","0.571","0.732","0.5","0.571","0.875","0.867","0.833","0.64","0.947","0.912","0.838","0.976","0.875","0.925","0.728","0.79","1","0.901","0.542","0.466","0.894","0.922","0.542","0.902","0.655","0.846","0.811","0.375","0.766","0.805","0.946","0.518","0.955","0.876","0.875","0.923","0.936","0.803","0.438","0.863","0.726","0.594","0.732","0.715","0.583","0.586","0.583","0.604","0.591","0.646","0.664","0.625","0.618","0.034","0.583","0","0.042","0.042","0.042","0.042","0.042","0.042","0.093","0.047","0.021","0.045","0","0","0","0.042","0.042","0.042","0.042","0.029","0.042","0.042","0.042","0.042","0.042","0.042","0.042","0.027","0","0.042","0.042","0.042","0.042","0.042","0.042","0.042","0.042","0.042","0","0.002","0","0.021","0.041","0.411","0.29","0.021","0.042","0","0.021","0","0.034","0","0.005","0","0","0","0","0.042","0.186","0","0","0.011","0","0","0","0.008","0","0","0","0","0","0","0.112","0.223","0","0","0","0.021","0","0.001","0.001","0","0","0","0","0.004","0","0","0.001","0.003","0","0.007","0","0","0","0","0","0","0.001","0","0.008","0.042","0","0.666","0","0","0.021","0.021","0.021","0.007","0.042","0.035","0.042","0","0","0.001","0","0","0","0.042","0.716","0.831","0.497","0.002","0.042","0.042","0.042","0.042","0.042","0.042","0.042","0.042","0.042","0.042","0.021","0.042","0.042","0.042","0.042","0.042","0.042","0.042","0.042","0.042","0.042","0","0","0.042","0.042","0.042","0.042","0.042","0.042","0.042","0.042","0.042","0.042","0.042","0.042","0.042","0.042","0.042","0.042","0.042"
"LA 7582","0","0","0","0","0","0","0.04","0","0.045","0.045","0.028","0","0","0.014","0.045","0.016","0.019","0.045","0.045","0.045","0.045","0.045","0.045","0.045","0.045","0.045","0.045","0.045","0.044","0.045","0.045","0.045","0.045","0.045","0.045","0.033","0.045","0","0.045","0.022","0.025","0.045","0.045","0","0.045","0","0.692","0.045","0.697","0.548","0.703","0.703","0.678","0.417","0.677","0.705","0.599","0.417","0.583","0.583","0.856","0.493","0.654","0.422","0.575","0.797","0.924","0.756","0.619","0.934","0.834","0.76","0.904","0.797","0.856","0.65","0.712","0.901","1","0.464","0.388","0.816","0.844","0.464","0.955","0.602","0.933","0.885","0.297","0.688","0.752","0.869","0.44","0.925","0.822","0.797","0.866","0.881","0.732","0.36","0.945","0.8","0.669","0.821","0.789","0.658","0.66","0.658","0.703","0.666","0.742","0.762","0.622","0.703","0.013","0.658","0","0.045","0.045","0.045","0.045","0.045","0.042","0.096","0.05","0.045","0.049","0","0","0","0.045","0.043","0.045","0.022","0.008","0.045","0.045","0.045","0.045","0.045","0.045","0.045","0.045","0","0.045","0.045","0.045","0.045","0.045","0.045","0.045","0.045","0.045","0","0.002","0","0","0.02","0.433","0.293","0.022","0.045","0","0.028","0","0.031","0","0.003","0","0","0","0","0.045","0.186","0","0","0","0","0","0","0.008","0","0","0","0","0","0","0.112","0.223","0","0","0","0","0","0","0.001","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.008","0.045","0","0.733","0","0","0.045","0.019","0.045","0.001","0.045","0.014","0.045","0","0","0","0","0","0","0.045","0.618","0.753","0.444","0","0.045","0.045","0.045","0.045","0.045","0.045","0.045","0.045","0.045","0.045","0.045","0.045","0.045","0.045","0.045","0.045","0.045","0.045","0.045","0.045","0.045","0","0","0.045","0.045","0.045","0.045","0.045","0.045","0.045","0.045","0.045","0.045","0.045","0.045","0.045","0.045","0.045","0.045","0.045"
"LA 7584","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.176","0","0.167","0.167","0.167","0.167","0.188","0.953","0.777","0.751","0.824","0.715","0.81","0.83","0.607","0.853","0.667","0.938","0.402","0.667","0.433","0.708","0.452","0.53","0.63","0.627","0.542","0.64","0.608","0.814","0.752","0.542","0.464","1","0.924","0.648","0.62","0.833","0.485","0.833","0.408","0.394","0.833","0.776","0.637","0.595","0.857","0.539","0.627","0.667","0.526","0.566","0.607","0.812","0.425","0.309","0.169","0.294","0.298","0.167","0.167","0.167","0.167","0.167","0.209","0.226","0.167","0.167","0.013","0.167","0","0","0","0","0","0","0","0.051","0.005","0","0.004","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.167","0.167","0","0","0","0","0","0","0","0.002","0","0","0","0","0","0.167","0","0","0","0","0","0","0.008","0","0","0","0","0","0","0.112","0.167","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.224","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.715","0.711","0.713","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"LA 7591","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.135","0","0.091","0.091","0.091","0.091","0.112","0.971","0.701","0.675","0.749","0.724","0.779","0.8","0.532","0.816","0.636","0.903","0.372","0.591","0.374","0.633","0.422","0.455","0.554","0.59","0.466","0.577","0.532","0.738","0.676","0.466","0.388","0.924","1","0.572","0.544","0.803","0.41","0.758","0.332","0.318","0.864","0.7","0.607","0.519","0.805","0.463","0.551","0.591","0.45","0.49","0.532","0.858","0.35","0.233","0.094","0.219","0.222","0.091","0.091","0.091","0.091","0.091","0.178","0.184","0.091","0.104","0.013","0.091","0.045","0","0","0","0","0","0.028","0.094","0.04","0","0.015","0","0","0","0","0","0","0","0","0","0.001","0","0","0","0","0","0.024","0","0","0","0","0","0","0","0","0","0","0.012","0.032","0.045","0.045","0.045","0.136","0.136","0.045","0","0.045","0.032","0","0.045","0.045","0.048","0.045","0.045","0.045","0.045","0.045","0.136","0.045","0.045","0.045","0.045","0.045","0.045","0.053","0.045","0.045","0.045","0","0.045","0.045","0.112","0.136","0.045","0.045","0.045","0","0","0","0.002","0","0","0","0","0","0","0","0.045","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.186","0.034","0.045","0.045","0.045","0","0.045","0","0","0","0","0","0","0","0.045","0.045","0","0.654","0.635","0.702","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"LA 7624","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.528","0","0.519","0.519","0.519","0.519","0.539","0.601","0.861","0.865","0.772","0.556","0.767","0.744","0.959","0.662","0.839","0.606","0.529","0.981","0.785","0.94","0.619","0.882","0.981","0.923","0.894","0.973","0.96","0.834","0.897","0.894","0.816","0.648","0.572","1","0.972","0.648","0.837","0.741","0.76","0.746","0.481","0.872","0.879","0.947","0.624","0.891","0.94","0.961","0.878","0.918","0.831","0.544","0.777","0.661","0.521","0.646","0.65","0.519","0.519","0.519","0.519","0.519","0.56","0.578","0.519","0.519","0.013","0.519","0","0","0","0","0","0","0","0.051","0.005","0","0.004","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.388","0.248","0","0","0","0","0","0","0","0.002","0","0","0","0","0","0.186","0","0","0","0","0","0","0.008","0","0","0","0","0","0","0.112","0.223","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.576","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.802","0.937","0.583","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"LA 7641","0","0","0","0","0","0","0.021","0","0.021","0.021","0.021","0","0","0.014","0.021","0.016","0.019","0.021","0.021","0.021","0.021","0.021","0.021","0.021","0.021","0.021","0.021","0.021","0.021","0.021","0.021","0.021","0.021","0.021","0.021","0.021","0.021","0","0.021","0.021","0.021","0.021","0.021","0","0.021","0","0.556","0.021","0.547","0.539","0.547","0.547","0.547","0.573","0.833","0.857","0.755","0.549","0.739","0.737","0.967","0.649","0.81","0.578","0.55","0.953","0.793","0.912","0.619","0.89","0.99","0.916","0.919","0.953","0.988","0.806","0.869","0.922","0.844","0.62","0.544","0.972","1","0.62","0.845","0.733","0.788","0.753","0.453","0.844","0.883","0.955","0.596","0.898","0.954","0.953","0.904","0.946","0.851","0.516","0.805","0.668","0.537","0.674","0.657","0.526","0.528","0.526","0.547","0.534","0.588","0.606","0.547","0.547","0.013","0.526","0","0.021","0.021","0.021","0.021","0.021","0.021","0.072","0.026","0.021","0.024","0","0","0","0.021","0.021","0.021","0.021","0.008","0.021","0.021","0.021","0.021","0.021","0.021","0.021","0.021","0","0.021","0.021","0.021","0.021","0.021","0.021","0.021","0.021","0.021","0","0.002","0","0","0.02","0.408","0.269","0.021","0.021","0","0.021","0","0.021","0","0.003","0","0","0","0","0.021","0.186","0","0","0","0","0","0","0.008","0","0","0","0","0","0","0.112","0.223","0","0","0","0","0","0","0.001","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.008","0.021","0","0.601","0","0","0.021","0.019","0.021","0.001","0.021","0.014","0.021","0","0","0","0","0","0","0.021","0.774","0.909","0.575","0","0.021","0.021","0.021","0.021","0.021","0.021","0.021","0.021","0.021","0.021","0.021","0.021","0.021","0.021","0.021","0.021","0.021","0.021","0.021","0.021","0.021","0","0","0.021","0.021","0.021","0.021","0.021","0.021","0.021","0.021","0.021","0.021","0.021","0.021","0.021","0.021","0.021","0.021","0.021"
