"","Buzan","Ash Terrace","Lost Mound","Dudleyville Mound","Leaverton","Camp Village","High Mesa","Bayless Ruin","Flieger","Big Bell","111 Ranch","Davis Ranch Site","Jose Solas Ruin","Armer Gulch Ruin","AZ U:4:009 (ASM)","AZ U:8:589 (ASM)","AZ V:5:125 (ASM)","Bass Point Mound","Griffen Wash Complex","Indian Point Complex","Las Tortugas","Los Hermanos","Meddler Point Mound","Pinto Point Mound","Pyramid Point Complex","Saguaro Muerto","Schoolhouse Point Mesa Complex","Tonto Cliff Dwellings","Lovelady Ranch","AZ W:11:7","WS Ranch","Foote Canyon Pueblo","AZ W:8:4","Blue PO Site","AZ W:8:9","LA 5939","LA 9777","LA 11493","LA 105878","Rudd Creek Pueblo","Slade","Greenwood","Springerville Area Site R57-59","Casa Malpais","Danson Pueblo","Hooper Ranch Pueblo","LA 3279","LA 4987","LA 4989","Pueblo Carrejo","LA 6063","LA 8090","Higgins Flat","LA 8099","Hudson Ranch","LA 83287","LA 85442","LA 3262","Gila Cliff Dwellings","3-Up","Babocomari Village","Hereford","NA 5653","Aztec","Maddox Ranch","Pendleton","Animas River Ruin","Flora Vista","Red Willow II","Clanton Draw","LA 6679","LA 6705","LA 6725","LA 6729","Skunk Springs","LA 7059","LA 7068","LA 7072","LA 7075","LA 7077","LA 7081","LA 7095","LA 7098","LA 7183","LA 7329","LA 7434","LA 7437","LA 7438","LA 7526","LA 7547","To Dil Hil Dry Lake","LA 7582","LA 7641","LA 7704","LA 7935","LA 7938","LA 8240","LA 8476","LA 8477","Shannon Bluff-Point","Salmon II","LA 20266","LA 50078","Stewart Ranch","Hoskins","Double Adobe","Saddle Bronc","Kello Blancett","Morris' Old Fort","LA 100068","LA 100069","Kinishba","Awat'ovi","Heshoda Yala:wa","Archeotekopa II","Techado Spring","Jaralosa","Fort Site","Horse Camp Mill","Hinkson Ranch","Ojo Pueblo","Eagle Crag","Eighteen Mile Ruin","Wide Reed Ruin","Hogay Ruin","Togetzoge","Gila Pueblo","Chevelon","Dinwiddie","Hukovi","Old Shongopavi I","Lululongturqi","Pink Arrow","Hubble Corner","Owens-Colvin","Fischer site","Yuma Wash Site","Emigrant Springs","Rocky Point","Wide Ruins","Schoolhouse Point Mound","Cooper Forks Cliff Dwelling","Roundy Ruin","Shumway Ruin","Fourmile Ruin","Bailey Ruin","NA 4566","Pottery Hill--Silver Creek","Pinedale Ruin","Blue Springs Ruin","Tundastusa","Sherwood Ranch","Bean Patch","Garcia Ranch","Broken K Pueblo","Hardscrabble Ruin","Puerco Ruin","Wallace Tank Ruin","Seven Springs","Malpais Spring","Homol'ovi III","Cottonwood Creek","Homol'ovi I","Scribe S","Upper Nutria","Lower Deracho","Day Ranch","Halona:wa South","Atsinna","Cienega","Mirabal","Tinaja","North Atsinna","Yellowhouse","Big House","Naat'a'anii Bikin","Lookout Site","Pueblo de los Muertos","Jack's Lake","Box S","LA 15560","LA 47563","Los Gigantes","Spier 81","LA 109857","Wupatki","Many Farms","Antelope House","Three Turkey House","White House II","Salina Springs II","Boss Ranch","Old Caves","Burned Pueblo","Turkey Hill Pueblo","Tachini Point","Inscription House","Whirling Spring","Tower House","Swallow's Nest","Betatakin","Kiet Siel","Batwoman House","Twin Caves Pueblo","Nagashi Bikin","Red House","Scaffold House","Moqui Rock Pueblo","Kinlani","Double Wall Ruin","NA 5628","NA 5651","NA 5654","Hummingbird House","NA 8816","NA 8839","Fireside","Otherside","Organ Rock","Pueblo Grande","Burnt Corn GH","Porcupine Wash","Pinon Ruin","Thief Site","AZ E:6:1","Ford House","Chavez Pass Pueblo","Montezuma Well (E.Rim)","Jackson Ranch Ruin","Clear Creek Ruin","Honanki","Pollack Ruin","Zanardelli Site","Gibbon  Springs","Cherry Creek Mound","University Indian Ruins","Pueblo Blanco","Sunset Mesa","Pueblo Salado","White Rincon","Jackrabbit","Casa Grande","Las Colinas","Whiptail Ruin","Tanque Verde Village","Brady Wash","Mendoza Canyon","Escalante","Las Acequias","Dakota Wash","Hodges Ruin","Romero Ruin","Los Morteros","Casa Buena","Kuykendall","Kimble Ranch/Glass Ranch","Curtis Ruin(Buena Vista)","Fort Grant Pueblo","Drip","Twin Towers","Juniper Terrace","Two Kivas","Atsee Nitsaa","Tuzigoot","Roosevelt 9:13","Crescent Site","Rattlesnake Mesa","Earven Flat Site","AZ CC:2:185","Danson 481","Rabid Ruin","San Xavier Bridge","Continental Site","Cerro Prieto--Santa Cruz","Omawovi","Paaqapa","Pivanhonkyapi","LA 76368","LA 7085","LA 7791","LA 8532","Yuma Wash--Tucson","CS165","CS195","LZ1232","LZ1245","LZ1307","LA 47508","LA 47515","LA 47561","LA 47562","LA 2347","LA 47564","LA 47565","LA 47581","LA 47591","FSOP13","FSOP15","AZ Q:4:58 (ASM)","Garden Canyon","Rillito Fan","LA 82683","LA 82762","LA 85954","LA 85796","LA 85989","LA 86013","LA 86027","LA 86037","LA 86054","Chodistaas","Veteado Pueblo"
"LA 8090","0.015","0.044","0.06","0","0.075","0","0.009","0.022","0.13","0.053","0.014","0","0","0.054","0.559","0.193","0.843","0.501","0.449","0.617","0.569","0.756","0.625","0.616","0.338","0.553","0.751","0.718","0.974","0.881","0.716","0.35","0.899","0.495","0.29","0.88","0.907","0.592","0.953","0.163","0.734","0.543","0.845","0.743","0.412","0.713","0.888","0.993","0.527","0.985","0.855","1","0.903","0.92","0.824","0.937","0.985","0.838","0.917","0.098","0","0","0","0.247","0.015","0.036","0.015","0.015","0.015","0.015","0.082","0.022","0.03","0.134","0.189","0","0.108","0","0.178","0.106","0","0.053","0","0.041","0.015","0","0.029","0.015","0","0.043","0.015","0.015","0.015","0","0.069","0.015","0.015","0","0.042","0.015","0.011","0.007","0","0.015","0.015","0.015","0.015","0.005","0.486","0.027","0.985","0.465","0","0.501","0.274","0.354","0.645","0.462","0.778","0.751","0.419","0.029","0.199","0.349","0.09","0","0.015","0.147","0","0","0","0","0","0.446","0.085","0.015","0.055","0.493","0.513","0.015","0.733","0.15","0.88","0.777","0.725","0.738","0.45","0.899","0.645","0","0.507","0.724","0.779","0.633","0.675","0.595","0.318","0.23","0.537","0.027","0.238","0.381","0.144","0.151","0.483","0.206","0.354","0.225","0.187","0.097","0.108","0.138","0.09","0.401","0.596","0.552","0.246","0.084","0.285","0.421","0.849","0.71","0.277","0.396","0.405","0.012","0.114","0.017","0.015","0.196","0.08","0.154","0","0","0.047","0.005","0","0","0","0","0","0","0","0","0","0.09","0","0","0","0.008","0","0.015","0.015","0","0","0","0","0","0","0","0","0","0","0","0","0","0.213","0","0.015","0.126","0","0.075","0","0.001","0.498","0","0","0","0","0.003","0","0","0.001","0.002","0","0.006","0","0","0","0","0","0","0","0","0.009","0","0.146","0.015","0","0.023","0","0.017","0.775","0.008","0.677","0","0","0.314","0","0.694","0","0","0","0","0","0","0","0.898","0.133","0","0.116","0.008","0.451","0.276","0.521","0.294","0.47","0.585","0.618","0.643","0.717","0.534","0.589","0.69","0.507","0.85","0.606","0.4","0.625","0","0","0.216","0.271","0.776","0.437","0.413","0.701","0.75","0.732","0.526","0.556","0.26"
"Higgins Flat","0.017","0.044","0.065","0","0.099","0","0.009","0.022","0.13","0.053","0.014","0","0","0.076","0.581","0.272","0.909","0.54","0.546","0.627","0.575","0.756","0.699","0.703","0.389","0.583","0.751","0.718","0.927","0.905","0.784","0.447","0.923","0.592","0.387","0.904","0.927","0.666","0.927","0.187","0.758","0.574","0.869","0.771","0.436","0.747","0.96","0.91","0.551","0.888","0.952","0.903","1","0.927","0.912","0.927","0.888","0.862","0.963","0.196","0","0","0","0.271","0.039","0.067","0.032","0.039","0.039","0.039","0.082","0.022","0.054","0.147","0.213","0","0.132","0","0.178","0.121","0","0.076","0","0.065","0.039","0","0.029","0.02","0","0.067","0.032","0.039","0.039","0","0.069","0.039","0.039","0","0.066","0.021","0.011","0.007","0","0.039","0.039","0.039","0.039","0.005","0.508","0.051","0.888","0.543","0","0.525","0.298","0.379","0.669","0.485","0.802","0.775","0.443","0.047","0.199","0.373","0.114","0","0.021","0.171","0","0","0","0","0","0.47","0.125","0.112","0.079","0.516","0.537","0.039","0.808","0.174","0.953","0.825","0.739","0.753","0.547","0.966","0.658","0.047","0.605","0.748","0.803","0.657","0.732","0.619","0.318","0.254","0.561","0.051","0.25","0.404","0.144","0.175","0.507","0.23","0.378","0.249","0.211","0.121","0.132","0.162","0.114","0.425","0.596","0.552","0.27","0.108","0.309","0.444","0.873","0.734","0.301","0.42","0.429","0.012","0.114","0.041","0.039","0.22","0.093","0.191","0","0","0.071","0.005","0","0","0","0","0","0","0","0","0","0.114","0","0","0","0.008","0","0.036","0.034","0","0","0","0","0","0","0","0","0","0","0","0","0","0.237","0","0.039","0.15","0","0.075","0","0.001","0.522","0","0","0","0","0.003","0","0","0.001","0.002","0","0.006","0","0","0","0","0.001","0","0","0","0.009","0","0.221","0.039","0","0.023","0","0.045","0.799","0.008","0.774","0.073","0.073","0.387","0","0.718","0.001","0","0","0","0","0","0","0.922","0.133","0","0.14","0.008","0.475","0.3","0.545","0.318","0.494","0.609","0.642","0.643","0.74","0.534","0.596","0.714","0.508","0.85","0.63","0.424","0.649","0","0","0.24","0.295","0.8","0.461","0.436","0.725","0.774","0.756","0.55","0.623","0.284"
"LA 8099","0.017","0.044","0.06","0","0.155","0","0.009","0.022","0.13","0.053","0.014","0","0","0.076","0.559","0.199","0.843","0.525","0.475","0.619","0.569","0.756","0.625","0.638","0.338","0.579","0.751","0.718","0.946","0.962","0.796","0.43","0.979","0.575","0.37","0.961","0.987","0.592","0.967","0.244","0.815","0.624","0.925","0.823","0.493","0.794","0.951","0.927","0.608","0.905","0.924","0.92","0.927","1","0.905","0.982","0.905","0.919","0.958","0.174","0","0","0","0.288","0.042","0.116","0.032","0.061","0.095","0.095","0.082","0.022","0.082","0.147","0.269","0","0.166","0","0.178","0.121","0","0.133","0","0.065","0.048","0","0.029","0.02","0","0.1","0.032","0.095","0.041","0","0.069","0.095","0.087","0","0.122","0.021","0.011","0.007","0","0.059","0.095","0.046","0.095","0.005","0.508","0.07","0.905","0.469","0","0.581","0.354","0.434","0.725","0.542","0.859","0.831","0.499","0.047","0.199","0.429","0.17","0","0.021","0.207","0","0","0","0","0","0.526","0.091","0.095","0.136","0.573","0.594","0.043","0.734","0.23","0.88","0.777","0.725","0.741","0.53","0.941","0.651","0","0.588","0.804","0.859","0.714","0.755","0.675","0.318","0.31","0.618","0.108","0.25","0.461","0.144","0.232","0.563","0.286","0.435","0.305","0.267","0.178","0.188","0.219","0.17","0.481","0.596","0.552","0.327","0.164","0.366","0.501","0.929","0.746","0.357","0.476","0.485","0.012","0.114","0.098","0.087","0.276","0.093","0.235","0","0","0.077","0.005","0","0","0","0","0","0","0","0","0","0.171","0","0","0","0.008","0","0.036","0.034","0","0","0","0","0","0","0","0","0","0","0","0","0","0.293","0","0.09","0.197","0","0.075","0","0.001","0.578","0","0","0","0","0.003","0","0","0.001","0.002","0","0.006","0","0","0","0","0","0","0","0","0.009","0","0.227","0.095","0","0.023","0","0.04","0.855","0.008","0.757","0","0","0.314","0","0.775","0","0","0","0","0","0","0","0.978","0.133","0","0.196","0.008","0.531","0.356","0.601","0.374","0.55","0.665","0.698","0.643","0.74","0.534","0.596","0.735","0.508","0.85","0.686","0.481","0.706","0","0","0.296","0.351","0.856","0.518","0.493","0.782","0.83","0.813","0.606","0.557","0.34"
"Hudson Ranch","0.017","0.044","0.065","0","0.188","0","0.009","0.022","0.13","0.053","0.014","0","0","0.076","0.581","0.262","0.873","0.54","0.539","0.627","0.575","0.756","0.689","0.702","0.389","0.585","0.751","0.718","0.851","0.937","0.863","0.525","0.926","0.645","0.466","0.937","0.917","0.655","0.871","0.276","0.847","0.663","0.937","0.859","0.525","0.835","0.936","0.832","0.64","0.81","0.957","0.824","0.912","0.905","1","0.887","0.81","0.937","0.902","0.237","0","0","0","0.288","0.042","0.156","0.032","0.061","0.127","0.127","0.082","0.022","0.082","0.147","0.301","0","0.166","0","0.178","0.121","0","0.136","0","0.065","0.048","0","0.029","0.02","0","0.1","0.032","0.127","0.041","0","0.069","0.127","0.087","0","0.154","0.021","0.011","0.007","0","0.059","0.111","0.046","0.127","0.005","0.508","0.07","0.81","0.532","0","0.614","0.386","0.467","0.757","0.574","0.891","0.863","0.531","0.047","0.199","0.461","0.203","0","0.021","0.207","0","0","0","0","0","0.558","0.125","0.19","0.168","0.605","0.626","0.043","0.797","0.263","0.881","0.825","0.739","0.753","0.625","0.91","0.658","0.047","0.683","0.836","0.891","0.746","0.82","0.708","0.318","0.342","0.65","0.14","0.25","0.493","0.144","0.264","0.596","0.318","0.467","0.337","0.299","0.21","0.221","0.251","0.202","0.513","0.596","0.552","0.359","0.196","0.398","0.533","0.937","0.746","0.389","0.508","0.518","0.012","0.114","0.13","0.087","0.308","0.093","0.28","0","0","0.077","0.005","0","0","0","0","0","0","0","0","0","0.201","0","0","0","0.008","0","0.036","0.034","0","0","0","0","0","0","0","0","0","0","0","0","0","0.325","0","0.09","0.197","0","0.075","0","0.001","0.61","0","0","0","0","0.003","0","0","0.001","0.002","0","0.006","0","0","0","0","0.001","0","0","0","0.009","0","0.31","0.127","0","0.023","0","0.045","0.86","0.008","0.826","0.063","0.063","0.377","0","0.807","0.001","0","0","0","0","0","0","0.927","0.133","0","0.229","0.008","0.563","0.388","0.633","0.406","0.582","0.697","0.73","0.643","0.74","0.534","0.596","0.735","0.508","0.81","0.718","0.513","0.738","0","0","0.328","0.383","0.888","0.55","0.525","0.814","0.862","0.845","0.638","0.621","0.372"
"LA 83287","0.017","0.044","0.06","0","0.138","0","0.009","0.022","0.13","0.053","0.014","0","0","0.076","0.559","0.199","0.843","0.525","0.475","0.619","0.569","0.756","0.625","0.638","0.338","0.579","0.751","0.718","0.964","0.944","0.778","0.412","0.961","0.557","0.353","0.943","0.97","0.592","0.984","0.226","0.797","0.606","0.907","0.806","0.475","0.776","0.95","0.945","0.59","0.922","0.917","0.937","0.927","0.982","0.887","1","0.922","0.901","0.958","0.161","0","0","0","0.288","0.042","0.098","0.032","0.061","0.078","0.078","0.082","0.022","0.082","0.147","0.252","0","0.166","0","0.178","0.121","0","0.115","0","0.065","0.048","0","0.029","0.02","0","0.1","0.032","0.078","0.041","0","0.069","0.078","0.078","0","0.105","0.021","0.011","0.007","0","0.059","0.078","0.046","0.078","0.005","0.508","0.07","0.922","0.469","0","0.564","0.337","0.416","0.708","0.524","0.841","0.814","0.482","0.047","0.199","0.411","0.153","0","0.021","0.207","0","0","0","0","0","0.508","0.091","0.078","0.118","0.555","0.576","0.043","0.734","0.213","0.88","0.777","0.725","0.741","0.512","0.941","0.651","0","0.57","0.787","0.842","0.696","0.738","0.658","0.318","0.292","0.6","0.09","0.25","0.443","0.144","0.214","0.546","0.268","0.417","0.288","0.249","0.16","0.171","0.201","0.152","0.463","0.596","0.552","0.309","0.147","0.348","0.483","0.912","0.746","0.34","0.458","0.468","0.012","0.114","0.08","0.078","0.258","0.093","0.217","0","0","0.077","0.005","0","0","0","0","0","0","0","0","0","0.153","0","0","0","0.008","0","0.036","0.034","0","0","0","0","0","0","0","0","0","0","0","0","0","0.275","0","0.078","0.189","0","0.075","0","0.001","0.56","0","0","0","0","0.003","0","0","0.001","0.002","0","0.006","0","0","0","0","0","0","0","0","0.009","0","0.209","0.078","0","0.023","0","0.04","0.837","0.008","0.74","0","0","0.314","0","0.757","0","0","0","0","0","0","0","0.96","0.133","0","0.179","0.008","0.513","0.339","0.584","0.357","0.532","0.647","0.681","0.643","0.74","0.534","0.596","0.735","0.508","0.85","0.668","0.463","0.688","0","0","0.278","0.333","0.839","0.5","0.475","0.764","0.812","0.795","0.589","0.557","0.322"
"LA 85442","0","0.044","0.06","0","0.06","0","0.009","0.022","0.13","0.053","0.014","0","0","0.039","0.559","0.178","0.843","0.486","0.434","0.602","0.569","0.756","0.61","0.601","0.328","0.538","0.739","0.718","0.959","0.866","0.701","0.335","0.884","0.48","0.275","0.865","0.892","0.592","0.938","0.148","0.719","0.528","0.83","0.728","0.398","0.698","0.873","0.978","0.512","1","0.84","0.985","0.888","0.905","0.81","0.922","1","0.824","0.902","0.083","0","0","0","0.232","0","0.021","0","0","0","0","0.082","0.022","0.015","0.119","0.174","0","0.093","0","0.178","0.091","0","0.038","0","0.026","0","0","0.014","0","0","0.029","0","0","0","0","0.069","0","0","0","0.027","0","0","0","0","0","0","0","0","0","0.471","0.012","0.987","0.45","0","0.486","0.259","0.339","0.63","0.447","0.764","0.736","0.404","0.014","0.199","0.334","0.075","0","0","0.132","0","0","0","0","0","0.431","0.071","0","0.04","0.478","0.499","0","0.718","0.135","0.872","0.777","0.725","0.723","0.435","0.884","0.63","0","0.493","0.709","0.764","0.618","0.66","0.58","0.318","0.215","0.522","0.012","0.223","0.366","0.144","0.136","0.468","0.191","0.34","0.21","0.172","0.082","0.093","0.123","0.075","0.386","0.596","0.552","0.231","0.069","0.27","0.406","0.834","0.695","0.262","0.381","0.39","0","0.114","0.002","0","0.181","0.065","0.139","0","0","0.033","0.004","0","0","0","0","0","0","0","0","0","0.075","0","0","0","0.008","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.198","0","0","0.111","0","0.06","0","0.001","0.483","0","0","0","0","0.003","0","0","0.001","0.002","0","0.006","0","0","0","0","0","0","0","0","0","0","0.132","0","0","0.009","0","0.002","0.76","0.006","0.662","0","0","0.301","0","0.679","0","0","0","0","0","0","0","0.883","0.133","0","0.101","0.008","0.436","0.261","0.506","0.279","0.455","0.57","0.603","0.643","0.703","0.531","0.574","0.675","0.492","0.85","0.591","0.385","0.61","0","0","0.201","0.256","0.761","0.422","0.398","0.686","0.735","0.717","0.511","0.541","0.245"
"LA 3262","0.017","0.044","0.06","0","0.237","0","0.009","0.022","0.13","0.053","0.014","0","0","0.076","0.559","0.199","0.824","0.525","0.475","0.619","0.569","0.756","0.625","0.638","0.338","0.579","0.751","0.718","0.865","0.957","0.818","0.511","0.94","0.582","0.452","0.958","0.931","0.592","0.885","0.325","0.896","0.705","0.951","0.904","0.574","0.875","0.901","0.846","0.689","0.824","0.908","0.838","0.862","0.919","0.937","0.901","0.824","1","0.88","0.174","0","0","0","0.288","0.042","0.197","0.032","0.061","0.176","0.176","0.082","0.022","0.082","0.147","0.351","0","0.166","0","0.178","0.121","0","0.136","0","0.065","0.048","0","0.029","0.02","0","0.1","0.032","0.176","0.041","0","0.069","0.176","0.087","0","0.203","0.021","0.011","0.007","0","0.059","0.111","0.046","0.176","0.005","0.508","0.07","0.824","0.469","0","0.663","0.436","0.515","0.806","0.623","0.94","0.912","0.581","0.047","0.199","0.51","0.246","0","0.021","0.207","0","0","0","0","0","0.607","0.091","0.176","0.217","0.654","0.675","0.043","0.734","0.312","0.832","0.777","0.725","0.741","0.565","0.881","0.651","0","0.669","0.886","0.941","0.795","0.837","0.757","0.318","0.391","0.699","0.189","0.25","0.499","0.144","0.313","0.645","0.367","0.516","0.387","0.348","0.259","0.27","0.3","0.251","0.562","0.596","0.552","0.408","0.246","0.447","0.582","0.988","0.746","0.439","0.557","0.567","0.012","0.114","0.179","0.087","0.357","0.093","0.316","0","0","0.077","0.005","0","0","0","0","0","0","0","0","0","0.201","0","0","0","0.008","0","0.036","0.034","0","0","0","0","0","0","0","0","0","0","0","0","0","0.364","0","0.09","0.197","0","0.075","0","0.001","0.659","0","0","0","0","0.003","0","0","0.001","0.002","0","0.006","0","0","0","0","0","0","0","0","0.009","0","0.308","0.176","0","0.023","0","0.04","0.86","0.008","0.763","0","0","0.314","0","0.856","0","0","0","0","0","0","0","0.941","0.133","0","0.278","0.008","0.612","0.437","0.683","0.456","0.631","0.746","0.78","0.643","0.74","0.534","0.596","0.735","0.508","0.824","0.767","0.562","0.787","0","0","0.377","0.432","0.938","0.599","0.574","0.863","0.911","0.894","0.688","0.557","0.421"
"Gila Cliff Dwellings","0.017","0.044","0.066","0","0.117","0","0.009","0.022","0.13","0.053","0.014","0","0","0.077","0.582","0.235","0.88","0.541","0.513","0.628","0.576","0.757","0.663","0.676","0.375","0.586","0.752","0.719","0.943","0.923","0.795","0.429","0.94","0.573","0.368","0.922","0.948","0.629","0.958","0.206","0.776","0.592","0.886","0.788","0.455","0.765","0.967","0.924","0.569","0.902","0.933","0.917","0.963","0.958","0.902","0.958","0.902","0.88","1","0.181","0","0","0","0.288","0.046","0.09","0.032","0.056","0.056","0.061","0.082","0.022","0.071","0.147","0.231","0","0.15","0","0.178","0.121","0","0.094","0","0.065","0.048","0","0.029","0.02","0","0.085","0.032","0.056","0.041","0","0.069","0.056","0.056","0","0.083","0.021","0.011","0.007","0","0.056","0.061","0.05","0.061","0.005","0.508","0.069","0.902","0.507","0","0.543","0.317","0.399","0.686","0.508","0.821","0.792","0.46","0.048","0.2","0.391","0.132","0.001","0.021","0.189","0","0","0","0","0","0.49","0.125","0.093","0.097","0.535","0.555","0.044","0.772","0.193","0.917","0.814","0.74","0.754","0.528","0.978","0.659","0.038","0.586","0.766","0.82","0.675","0.749","0.637","0.319","0.272","0.58","0.069","0.251","0.422","0.144","0.193","0.525","0.247","0.397","0.268","0.229","0.139","0.15","0.181","0.132","0.442","0.596","0.552","0.289","0.127","0.327","0.462","0.891","0.746","0.319","0.437","0.447","0.012","0.114","0.059","0.056","0.237","0.093","0.213","0","0","0.077","0.005","0","0","0","0","0","0","0","0","0","0.132","0","0","0","0.008","0","0.036","0.034","0","0","0","0","0","0","0","0","0","0","0","0","0","0.255","0","0.056","0.168","0","0.076","0","0.001","0.54","0","0","0","0","0.003","0","0","0.001","0.002","0","0.006","0","0","0","0","0.001","0","0","0","0.009","0","0.225","0.057","0","0.023","0","0.046","0.816","0.009","0.755","0.038","0.037","0.351","0","0.736","0.001","0","0","0","0","0","0","0.939","0.133","0","0.158","0.008","0.492","0.317","0.562","0.335","0.511","0.626","0.66","0.643","0.74","0.534","0.596","0.731","0.508","0.85","0.647","0.446","0.667","0","0","0.257","0.312","0.818","0.479","0.454","0.743","0.791","0.774","0.567","0.594","0.305"
"3-Up","0.383","0.389","0.389","0.275","0.496","0.544","0.618","0.337","0.579","0.163","0.56","0.581","0.28","0.08","0.378","0.182","0.15","0.284","0.292","0.295","0.372","0.299","0.276","0.388","0.349","0.264","0.301","0.301","0.125","0.174","0.254","0.271","0.174","0.262","0.262","0.174","0.174","0.171","0.145","0.19","0.174","0.181","0.19","0.181","0.19","0.197","0.21","0.106","0.174","0.083","0.244","0.098","0.196","0.174","0.237","0.161","0.083","0.174","0.181","1","0.016","0.005","0","0.139","0.137","0.242","0.032","0.061","0.09","0.175","0.082","0.022","0.082","0.112","0.174","0","0.156","0","0.083","0.114","0","0.128","0","0.065","0.048","0","0.029","0.02","0","0.1","0.032","0.09","0.041","0","0.069","0.09","0.087","0","0.117","0.021","0.011","0.007","0","0.13","0.204","0.159","0.169","0.005","0.121","0.07","0.083","0.413","0","0.174","0.19","0.193","0.174","0.216","0.19","0.174","0.174","0.055","0.099","0.174","0.166","0.003","0.296","0.16","0.118","0","0","0","0","0.177","0.128","0.33","0.35","0.174","0.174","0.043","0.255","0.271","0.18","0.159","0.139","0.178","0.349","0.194","0.383","0.08","0.349","0.185","0.174","0.174","0.207","0.174","0.099","0.229","0.19","0.103","0.115","0.174","0.083","0.174","0.19","0.174","0.18","0.19","0.19","0.189","0.19","0.19","0.181","0.188","0.083","0.083","0.19","0.175","0.19","0.185","0.175","0.134","0.174","0.174","0.174","0.012","0.083","0.093","0.087","0.174","0.093","0.473","0","0","0.077","0.005","0","0","0","0","0","0","0","0","0","0.166","0","0","0","0.008","0","0.036","0.034","0","0","0","0","0","0","0","0","0","0","0","0","0","0.181","0","0.09","0.169","0","0.075","0.004","0.001","0.174","0.004","0.206","0","0.044","0.003","0","0","0.002","0.004","0","0.01","0","0","0","0","0.001","0.077","0.004","0","0.089","0.222","0.462","0.572","0","0.023","0","0.045","0.174","0.022","0.262","0.674","0.605","0.187","0.387","0.174","0.003","0","0","0","0","0","0","0.174","0.083","0","0.174","0.009","0.174","0.174","0.174","0.174","0.174","0.174","0.174","0.083","0.121","0.086","0.12","0.144","0.1","0.083","0.174","0.192","0.19","0.003","0.12","0.174","0.174","0.174","0.174","0.174","0.174","0.174","0.174","0.174","0.437","0.201"
"Babocomari Village","0.1","0.277","0.05","0.009","0.024","0.084","0.16","0.389","0.236","0.387","0.098","0.24","0.35","0.001","0","0","0","0.005","0.013","0.028","0.011","0","0.012","0.011","0.012","0.005","0.019","0.011","0","0","0.005","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.016","1","0.616","0","0","0.022","0.066","0","0","0","0.022","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.022","0","0.022","0.022","0","0","0","0","0.012","0","0","0","0","0","0","0","0","0","0","0","0","0","0.033","0.011","0","0.034","0","0","0","0","0","0.011","0.024","0.024","0","0","0","0.017","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.075","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.366","0.365","0","0.369","0","0.365","0.124","0.365","0.365","0.006","0.107","0.367","0.365","0.035","0.365","0","0","0.365","0.365","0.378","0.368","0","0.034","0.034","0.012","0.014","0.011","0","0","0","0","0","0.104","0.012","0.024","0.011","0.024","0","0.365","0.365","0.365","0.365","0","0","0","0","0","0","0","0.365","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.77","0.376","0","0","0","0","0","0","0","0","0","0","0"
"Hereford","0.005","0.005","0.005","0","0.005","0.005","0.005","0.005","0.005","0.005","0.005","0.005","0.005","0","0","0","0","0","0.003","0.001","0.005","0","0.003","0","0.005","0.003","0.005","0","0","0","0.005","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.005","0.616","1","0","0","0.021","0.026","0","0","0","0.021","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.021","0","0.021","0.021","0","0","0","0","0.005","0","0","0","0","0","0","0","0","0","0","0","0","0","0.021","0","0","0.026","0","0","0","0","0","0","0.005","0.005","0","0","0","0.001","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.062","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.001","0","0","0.003","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.005","0","0","0.026","0.026","0.005","0.005","0","0","0","0","0","0","0","0.005","0.005","0","0.005","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.822","0","0","0","0","0","0","0","0","0","0","0","0"
